epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
82,1730.25,0.05847,0.98406,1,0.02914,0.001981,0.001981,0.001981
83,1750.45,0.04719,0.98406,1,0.02866,0.001882,0.001882,0.001882
84,1771.11,0.04649,0.98606,1,0.02767,0.001783,0.001783,0.001783
85,1792.13,0.05908,0.98805,1,0.02677,0.001684,0.001684,0.001684
86,1812.89,0.04662,0.98805,1,0.02661,0.001585,0.001585,0.001585
87,1833.45,0.05772,0.98805,1,0.02618,0.001486,0.001486,0.001486
88,1854.12,0.05757,0.98805,1,0.02697,0.001387,0.001387,0.001387
89,1874.53,0.0482,0.98805,1,0.02709,0.001288,0.001288,0.001288
90,1894.84,0.05122,0.98805,1,0.02617,0.001189,0.001189,0.001189
91,1918.67,0.05704,0.98805,1,0.02619,0.00109,0.00109,0.00109
92,1939.33,0.05381,0.98805,1,0.02589,0.000991,0.000991,0.000991
93,1960.08,0.04216,0.98805,1,0.02631,0.000892,0.000892,0.000892
94,1980.82,0.0503,0.98805,1,0.02595,0.000793,0.000793,0.000793
95,2001.42,0.04212,0.98805,1,0.02659,0.000694,0.000694,0.000694
96,2022.06,0.04473,0.98805,1,0.02764,0.000595,0.000595,0.000595
97,2042.5,0.04652,0.98805,1,0.02656,0.000496,0.000496,0.000496
98,2062.91,0.03915,0.98805,1,0.02685,0.000397,0.000397,0.000397
99,2083.31,0.04877,0.98805,1,0.02652,0.000298,0.000298,0.000298
100,2103.95,0.03889,0.98805,1,0.02704,0.000199,0.000199,0.000199
